uuid, protocol, protocol_response, protocol_estimated_error, l2_error, linf_error
07090ec0-2392-4197-8c5a-405dc920a5e7,ProtAdSamp,"[-2.49520254e+00 -5.07530526e-16 -3.44165868e+00  9.50553349e-01
 -3.55271368e-16]",5.662626367096603,4.986489492536934,3.9142768973942963
07090ec0-2392-4197-8c5a-405dc920a5e7,Real,[0.48462548 0.49651674 0.47261822 0.52582378 0.48704691],NA,NA
b120ed61-2aa1-4329-ad73-43002c1443db,ProtGauss,[0.17433189 0.         7.99422611 3.08317914 0.        ],10.018768255251759,8.0064377801232,7.503182686960633
b120ed61-2aa1-4329-ad73-43002c1443db,ProtRejSamp,[-4.07020786 13.08680452 -4.30375329  9.22862672 -0.8940385 ],14.229207918211214,16.775347478525283,12.550420638934806
b120ed61-2aa1-4329-ad73-43002c1443db,ProtAdSamp,[ 4.99528811 -6.66038415  0.95148345  3.33019207  2.85445035],5.668167154423552,9.27653253655985,7.1967680301319295
b120ed61-2aa1-4329-ad73-43002c1443db,Real,[0.53629378 0.53638388 0.49104342 0.40841256 0.48186635],NA,NA
5c6a4c88-a657-46bf-8a02-72cbda2d1bf9,ProtGauss,[ 1.51528816  0.          0.         15.65453085  0.        ],11.249568985618826,15.192715700273622,15.134908435768624
5c6a4c88-a657-46bf-8a02-72cbda2d1bf9,ProtRejSamp,[  1.3534023  -16.24436394   6.46623307  22.37590024 -13.43996375],15.977259080997504,31.4728997656903,21.85627782177112
5c6a4c88-a657-46bf-8a02-72cbda2d1bf9,ProtAdSamp,[-2.00053874 -2.85791248  3.53036248  4.76318747 -4.76318747],5.675042018207719,8.554931527595139,5.29273274263117
5c6a4c88-a657-46bf-8a02-72cbda2d1bf9,Real,[0.5564824  0.5376747  0.51413641 0.51962241 0.52954527],NA,NA
da8b09e3-fc97-49e4-8816-cdc2af00cbf7,ProtGauss,[3.72758196 5.62351157 0.         3.71445541 0.        ],11.801486909731452,6.860949304725107,5.090373183724078
da8b09e3-fc97-49e4-8816-cdc2af00cbf7,ProtRejSamp,[-13.61997602  11.46368006  -3.73722469  10.99737033  -9.09409683],16.761123394045107,23.245516850144725,14.139462098878026
